age,marital_status,no_of_dependants,education_level,relationship_to_student,income_in_kes,additional_income,employment_length,employment_status,guarantor_credit_score,existing_loans,outstanding_loan_amount,monthly_repayment_amount,monthly_expenses,missed_payments_last_year,financial_counseling,risk_score,risk_level
50,Single,6,High School,Parent,143260,15641,2,Unemployed,307,False,0,0,15806,3,False,50.644579298148656,Medium
27,Divorced,5,Bachelor’s Degree,Other,91355,11262,36,Unemployed,538,True,85477,21196,29942,1,True,55.588058943538734,Medium
53,Married,4,High School,Sibling,131358,32291,23,Unemployed,493,False,0,0,32913,4,False,45.574699644469014,Medium
51,Divorced,3,High School,Other,106232,31369,1,Unemployed,472,False,0,0,20897,3,False,46.14170160817906,Medium
51,Married,1,PhD,Guardian,71540,20208,0,Self-Employed,425,True,96627,39596,48079,5,False,73.91160269779866,High
25,Single,6,PhD,Sibling,53043,13633,29,Self-Employed,778,False,0,0,12726,3,True,30.71178785299807,Low
32,Single,6,Bachelor’s Degree,Guardian,119274,31821,23,Employed,596,False,0,0,45901,2,False,39.29203224095053,Low
47,Married,2,Bachelor’s Degree,Guardian,61852,31116,26,Employed,706,True,94627,41556,43742,1,True,49.596442646219025,Medium
47,Divorced,6,High School,Parent,144840,27440,16,Self-Employed,498,True,3156,42885,33537,3,False,57.446517568389055,Medium
28,Divorced,2,PhD,Parent,101200,16717,3,Unemployed,660,True,76652,3374,19879,3,False,56.39920776641797,Medium
25,Single,1,Master’s Degree,Parent,102095,30045,36,Unemployed,707,True,98414,44762,38699,4,False,64.32695637284701,Medium
25,Single,6,Master’s Degree,Other,64083,33319,6,Unemployed,623,True,78084,10908,30133,3,True,60.42573365017961,Medium
65,Divorced,6,PhD,Other,112187,36891,43,Unemployed,552,False,0,0,47376,4,True,37.52257388228792,Low
32,Divorced,5,PhD,Guardian,120445,33785,46,Unemployed,407,True,47178,15819,45553,5,False,65.2841798636824,Medium
41,Single,2,Master’s Degree,Sibling,21660,1280,4,Employed,809,True,84210,28764,31047,4,False,61.81449596205214,Medium
38,Single,6,Bachelor’s Degree,Other,57822,6383,41,Unemployed,529,True,97901,38275,10793,0,False,58.25418761260017,Medium
27,Single,4,High School,Other,25810,47256,6,Unemployed,657,True,82845,26083,16395,1,True,56.79776687022197,Medium
46,Married,2,Master’s Degree,Other,129924,15928,16,Unemployed,316,False,0,0,22094,0,True,34.50078643455835,Low
63,Single,6,Master’s Degree,Other,14967,45016,6,Employed,661,True,21662,42384,29986,4,False,58.515865393755185,Medium
59,Married,2,Master’s Degree,Sibling,80484,2667,2,Unemployed,549,True,47042,3514,25996,4,False,60.531539156304696,Medium
59,Divorced,5,PhD,Guardian,109599,12480,26,Self-Employed,426,False,0,0,10759,1,True,27.511480537901818,Low
57,Married,3,PhD,Sibling,19563,39189,40,Employed,323,True,50939,10896,46315,0,False,52.672080980933956,Medium
41,Married,1,PhD,Sibling,63943,48,3,Employed,500,True,48362,27653,36029,2,False,58.772203501888185,Medium
26,Single,5,Master’s Degree,Other,44206,48327,46,Unemployed,322,False,0,0,38699,3,False,51.96227383991895,Medium
61,Married,5,Master’s Degree,Other,126420,8482,35,Self-Employed,417,True,97035,6456,11853,5,True,53.53984295569679,Medium
61,Divorced,1,PhD,Parent,17681,28511,10,Self-Employed,696,True,21522,41017,27940,2,False,50.87905521783182,Medium
31,Divorced,0,High School,Guardian,128242,29002,44,Self-Employed,662,False,0,0,26765,3,False,33.20342701298701,Low
47,Married,0,PhD,Parent,14861,47269,26,Self-Employed,780,False,0,0,19218,2,True,23.589144161370545,Low
54,Single,5,PhD,Guardian,68993,32198,30,Employed,664,False,0,0,36613,4,False,37.65555089988027,Low
