utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Always on time,"Yes, but refunded",No,No,Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",737
Never paid,No,No,No,Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",551
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",723
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",769
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",760
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",729
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",704
Frequently late,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",644
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Live with family/friends,"Yes, once","Yes, active member","Yes, actively used",626
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",697
Always on time,No,"Yes, once",No,Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",628
Never paid,No,No,"Yes, sufficient",Over 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",681
Occasionally late,No,"Yes, once","Yes, but limited",Less than 6 months,No,Own,"Yes, once",No,"Yes, actively used",579
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,No,Rent,No,No,No,652
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",802
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",757
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",714
Always on time,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,No,Own,"Yes, more than once",No,"Yes, rarely used",631
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,"Yes, more than once","Yes, active member","Yes, rarely used",695
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, inactive member",No,719
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",715
Always on time,No,"Yes, more than once","Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, rarely used",619
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",725
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, rarely used",778
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Own,No,"Yes, inactive member","Yes, actively used",745
Occasionally late,No,No,No,1 to 3 years,No,Own,No,No,"Yes, actively used",708
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,"Yes, more than once",No,"Yes, rarely used",722
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",783
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,"Yes, once",No,"Yes, actively used",676
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",780
